Year,Team,Dbacks,LineBackers,Dline,PassCatchers,Oline,QB,RB,Special,Dead,IR,Prac,Susp,Wins,Playoff Wins,SuperBowl Win
2007,chiefs,2.56,7.03,8.86,8.85,7.58,0.71,9.56,0.57,7.4,4.2,0.14,0.0,4,0,0
2008,chiefs,3.83,8.58,8.87,8.87,12.2,0.81,8.67,2.08,3.9,0.76,0.39,0.0,2,0,0
2009,chiefs,3.82,10.7,8.78,9.74,6.64,13.27,5.62,1.69,14.14,1.16,0.07,0.0,4,0,0
2010,chiefs,6.52,17.04,10.79,4.43,10.64,12.1,12.14,2.18,5.78,0.55,0.07,0.0,10,0,0
2011,chiefs,12.28,9.28,14.53,7.48,6.25,11.35,6.58,2.5,0.38,0.52,0.14,0.0,7,0,0
2012,chiefs,26.98,21.02,19.49,19.06,11.71,8.27,8.29,4.56,5.02,20.81,0.0,0.0,2,0,0
2013,chiefs,19.07,16.31,10.03,7.74,15.21,8.66,4.9,2.82,0.14,1.82,0.07,0.0,11,0,0
2014,chiefs,17.35,18.01,10.59,17.15,9.06,6.54,8.54,3.58,0.31,10.96,8.64,0.0,9,0,0
2015,chiefs,16.68,14.84,7.71,5.63,11.27,14.69,6.55,3.25,0.65,8.9,0.65,0.0,11,1,0
2016,chiefs,13.54,21.13,11.42,13.35,13.66,12.87,5.21,3.81,8.91,14.12,0.0,0.0,12,1,0
2017,chiefs,12.46,24.61,10.39,7.18,14.97,12.47,2.44,4.6,0.3,10.35,0.0,0.0,10,0,0
2018,chiefs,17.59,22.94,8.69,17.57,19.93,5.6,3.22,1.72,12.66,5.59,0.0,0.0,12,2,0
2019,chiefs,12.18,6.39,11.05,20.36,15.43,4.86,3.15,2.86,0.26,5.19,0.0,0.0,12,4,1
2005,raiders,6.65,4.35,6.75,8.68,6.43,6.88,0.61,2.68,8.98,0.0,0.0,0.0,4,0,0
2006,raiders,7.07,2.39,10.61,13.69,9.93,4.46,0.93,3.56,7.73,0.0,0.08,0.0,2,0,0
2007,raiders,10.57,2.05,12.28,8.58,13.43,8.13,3.18,3.85,5.66,5.9,0.0,0.0,4,0,0
2008,raiders,19.15,3.5,10.71,13.47,11.95,4.75,5.5,4.59,10.32,2.44,0.08,0.0,5,0,0
2009,raiders,19.08,7.21,15.81,7.87,13.78,11.99,4.6,5.19,8.29,6.73,0.14,0.33,5,0,0
2010,raiders,20.76,7.95,23.47,11.65,9.31,21.66,8.42,7.1,34.12,1.02,0.0,0.0,8,0,0
2011,raiders,11.73,9.49,17.52,16.07,7.63,6.77,12.14,7.29,0.08,0.23,3.1,0.0,8,0,0
2012,raiders,21.77,13.12,18.39,12.06,7.84,3.07,9.48,9.17,17.72,11.04,0.0,0.0,4,0,0
2013,raiders,13.73,12.78,21.98,10.84,8.62,10.87,9.22,5.2,43.32,7.16,0.26,0.0,4,0,0
2014,raiders,23.67,10.9,14.03,8.19,16.26,9.51,5.37,3.6,13.6,21.44,0.3,0.0,3,0,0
2015,raiders,17.29,12.57,15.74,11.59,20.58,2.25,3.1,4.21,10.94,15.15,0.0,1.98,7,0,0
2016,raiders,19.66,16.07,10.65,15.13,22.41,2.75,1.74,6.05,5.43,4.98,0.0,2.38,12,0,0
2017,raiders,19.67,6.75,8.18,16.96,25.6,9.8,2.29,4.09,2.52,8.99,0.0,0.0,6,0,0
2018,raiders,11.88,5.94,7.23,16.28,19.14,14.02,3.9,1.88,0.42,18.32,0.0,0.0,4,0,0
2019,raiders,17.15,5.74,11.86,13.82,22.68,13.39,3.95,0.92,12.15,14.72,0.05,0.9,7,0,0
2005,chargers,6.22,1.78,3.15,5.79,1.76,18.71,10.25,1.65,2.13,0.0,0.09,0.0,9,0,0
2006,chargers,11.54,2.13,3.86,8.34,8.24,8.73,7.95,2.6,2.02,0.0,0.0,0.0,14,1,0
2007,chargers,13.2,3.3,8.59,9.42,11.55,10.27,9.11,3.41,0.39,0.0,0.0,0.0,11,2,0
2008,chargers,11.45,6.93,16.26,9.16,11.72,11.54,8.51,2.5,1.81,1.04,0.0,0.0,8,1,0
2009,chargers,10.35,9.35,14.02,9.88,11.32,14.37,12.3,2.61,1.0,0.41,0.0,0.0,13,1,0
2010,chargers,9.0,12.01,14.81,14.1,12.16,12.34,11.41,3.14,4.3,2.59,0.17,0.0,9,0,0
2011,chargers,11.59,8.35,14.77,21.19,23.64,13.3,3.37,2.98,1.78,7.58,0.16,0.0,8,0,0
2012,chargers,16.9,12.29,12.13,16.39,19.72,13.74,7.42,3.89,8.22,17.93,0.0,0.0,7,0,0
2013,chargers,13.31,16.1,5.51,21.7,16.34,12.89,4.18,4.56,9.89,11.18,0.17,0.0,9,1,0
2014,chargers,14.23,13.42,5.35,14.94,14.79,13.21,6.31,4.94,0.44,14.05,2.44,0.07,9,0,0
2015,chargers,17.44,12.45,9.42,15.33,14.26,16.19,9.14,4.23,11.86,22.67,0.0,0.0,4,0,0
2016,chargers,16.18,9.93,14.4,16.64,16.23,10.95,4.75,1.22,0.01,25.08,0.43,0.28,5,0,0
2017,chargers,9.26,13.59,13.53,16.91,12.32,11.52,3.02,1.4,0.16,6.8,0.0,0.0,9,0,0
2018,chargers,16.44,4.91,20.15,18.27,20.71,12.86,2.73,2.14,8.53,9.69,0.0,0.0,12,1,0
2019,chargers,10.5,7.45,20.64,16.32,19.58,14.47,3.49,0.84,0.28,10.34,0.0,0.0,5,0,0
2005,rams,4.15,0.46,4.47,16.17,12.18,11.83,6.57,0.1,10.61,0.0,0.0,0.0,6,0,0
2006,rams,7.33,4.69,2.41,17.09,16.11,7.56,4.79,0.03,7.28,0.44,0.0,0.0,8,0,0
2007,rams,6.59,6.82,6.81,14.65,15.86,11.75,3.23,0.68,3.59,1.99,0.0,0.0,3,0,0
2008,rams,8.23,6.01,6.41,14.28,19.5,7.33,4.63,2.36,0.91,5.77,0.02,0.0,2,0,0
2009,rams,13.46,2.86,9.99,9.53,28.35,10.03,6.95,2.74,17.48,16.1,0.0,0.0,1,0,0
2010,rams,13.82,5.47,17.99,6.08,17.47,10.38,7.91,3.66,10.37,3.05,0.07,0.0,7,0,0
2011,rams,13.18,4.96,12.13,6.83,23.04,11.79,9.24,4.25,1.67,0.66,0.24,0.0,2,0,0
2012,rams,14.51,6.3,22.8,8.56,21.88,13.7,9.01,1.73,11.2,7.39,0.5,0.0,7,0,0
2013,rams,22.09,15.78,17.24,9.56,21.44,10.87,2.14,1.34,11.88,32.17,0.44,0.0,7,0,0
2014,rams,9.86,13.42,23.49,12.21,20.17,15.42,2.79,1.59,6.35,23.22,0.4,0.0,6,0,0
2015,rams,6.95,20.51,20.98,17.3,12.87,3.6,3.28,2.73,0.41,23.69,0.0,0.23,7,0,0
2016,rams,13.49,13.56,14.37,14.45,12.05,6.07,4.14,2.88,0.08,11.79,0.0,0.0,4,0,0
2017,rams,18.29,21.15,11.88,17.93,15.11,5.47,4.18,2.45,6.18,6.06,0.0,0.0,11,0,0
2018,rams,19.37,12.79,23.39,12.24,17.1,4.88,4.98,4.29,9.23,2.44,0.0,0.0,13,3,0
2019,rams,14.75,14.27,16.49,16.65,17.42,6.21,6.58,3.17,7.17,2.6,0.07,0.0,9,0,0
2005,dolphins,2.75,9.23,6.45,2.51,3.98,2.02,6.7,2.58,2.11,0.46,0.09,0.0,9,0,0
2006,dolphins,5.89,1.45,10.06,4.5,4.16,6.59,3.16,2.63,4.92,0.0,0.08,0.0,6,0,0
2007,dolphins,7.53,5.31,8.37,6.62,4.38,4.94,3.98,2.66,8.29,3.34,0.0,0.0,1,0,0
2008,dolphins,9.71,11.41,9.4,5.54,14.14,9.32,7.18,2.18,6.61,1.94,0.08,0.0,11,0,0
2009,dolphins,18.05,14.9,11.83,6.67,22.44,6.93,10.22,1.64,5.93,9.49,0.14,0.0,7,0,0
2010,dolphins,12.95,18.83,11.99,12.97,29.71,2.33,9.89,2.16,25.58,2.36,0.59,0.0,7,0,0
2011,dolphins,10.72,15.29,21.51,15.31,28.3,4.02,4.85,2.7,14.2,0.0,0.35,0.0,6,0,0
2012,dolphins,7.28,16.62,15.55,11.3,24.05,5.15,6.78,4.35,0.19,16.67,0.32,0.0,7,0,0
2013,dolphins,14.16,6.96,21.48,11.38,14.3,4.53,1.49,2.46,0.84,9.38,3.85,0.0,8,0,0
2014,dolphins,13.21,13.22,16.54,20.56,12.69,5.94,3.51,3.38,0.08,14.86,1.19,3.35,8,0,0
2015,dolphins,18.43,11.69,22.56,16.55,16.29,4.9,2.29,1.92,19.92,12.08,0.0,3.44,6,0,0
2016,dolphins,14.35,4.95,23.32,10.11,17.17,7.9,1.1,1.36,1.84,19.35,0.0,0.0,10,0,0
2017,dolphins,10.17,7.87,24.08,11.07,13.04,19.1,1.9,1.07,0.7,28.02,0.0,0.0,6,0,0
2018,dolphins,9.94,9.9,30.01,18.26,18.67,6.0,2.35,0.96,11.33,15.1,0.0,0.0,7,0,0
2019,dolphins,23.91,3.14,5.38,12.02,5.16,3.44,1.01,0.92,0.01,23.47,0.87,0.0,5,0,0
2005,vikings,14.04,2.33,13.9,17.44,10.22,12.99,1.1,0.63,9.66,0.0,0.0,0.0,9,0,0
2006,vikings,12.9,4.75,10.56,8.28,21.06,2.17,4.24,2.14,0.8,1.27,0.08,0.0,6,0,0
2007,vikings,12.62,5.67,27.42,10.67,17.02,2.43,7.67,6.49,3.39,1.38,0.0,0.0,8,0,0
2008,vikings,16.05,7.15,24.8,21.44,20.29,0.91,5.57,4.81,10.44,3.98,0.16,0.0,10,0,0
2009,vikings,14.23,10.32,26.84,14.02,14.33,12.48,5.64,3.58,1.77,4.07,0.14,0.0,12,2,0
2010,vikings,16.82,11.72,27.35,17.87,15.92,15.16,5.72,3.96,0.57,0.0,0.54,0.0,6,0,0
2011,vikings,15.98,12.61,22.99,13.87,11.54,6.58,12.04,3.92,2.35,7.4,0.32,0.0,3,0,0
2012,vikings,8.29,9.81,26.3,11.13,13.58,2.71,12.21,2.51,0.48,2.35,0.39,0.0,10,0,0
2013,vikings,8.78,9.99,27.98,10.9,15.53,6.98,11.8,1.53,0.5,5.06,0.34,0.0,5,0,0
2014,vikings,8.91,9.78,20.13,10.61,18.09,7.7,12.0,1.81,0.41,10.78,13.7,0.0,7,0,0
2015,vikings,13.53,7.71,17.17,16.47,19.81,3.5,11.25,2.31,0.34,12.83,0.0,0.0,11,0,0
2016,vikings,18.66,7.56,17.86,12.14,20.2,8.02,8.69,1.15,1.02,18.44,0.0,0.0,8,0,0
2017,vikings,19.28,6.05,17.18,11.46,11.23,13.27,3.55,1.48,1.12,12.96,0.0,0.0,13,2,0
2018,vikings,20.32,9.97,19.82,14.93,14.12,13.86,4.42,1.86,3.74,5.49,0.0,0.0,8,0,0
2019,vikings,21.86,6.99,19.71,14.71,12.52,15.5,1.95,1.65,0.02,2.44,0.39,0.0,10,1,0
2005,patriots,8.75,5.67,10.37,4.83,7.56,11.06,2.59,3.93,0.57,0.31,0.0,0.0,10,1,0
2006,patriots,6.6,3.05,11.81,6.17,10.43,14.25,3.84,1.0,2.37,0.0,0.0,0.0,12,2,0
2007,patriots,13.1,1.81,11.59,11.04,10.91,7.15,5.05,1.15,2.73,0.0,0.34,0.0,16,3,0
2008,patriots,9.6,3.72,12.89,12.9,12.07,13.48,6.6,1.24,5.24,5.41,0.16,0.0,11,0,0
2009,patriots,6.39,6.62,12.19,19.53,15.21,12.99,4.73,0.91,5.98,0.0,0.21,0.0,10,0,0
2010,patriots,11.5,7.7,11.77,17.2,16.29,17.29,5.48,2.52,2.43,5.38,0.07,0.0,14,1,0
2011,patriots,10.54,8.88,13.97,12.0,21.99,11.05,2.62,2.74,4.08,0.69,0.72,0.0,13,3,0
2012,patriots,12.48,14.15,13.14,20.68,16.3,7.51,2.96,3.37,0.05,5.82,0.94,0.0,12,2,0
2013,patriots,12.26,13.04,12.49,9.98,17.31,11.21,2.23,3.35,0.09,20.94,0.62,0.0,12,2,0
2014,patriots,18.92,13.26,9.96,21.26,14.99,11.23,2.9,3.63,13.37,9.01,0.34,0.0,12,4,1
2015,patriots,11.02,16.7,6.13,18.93,14.63,10.23,2.61,3.57,0.3,16.47,0.8,0.0,12,2,0
2016,patriots,10.94,15.24,5.67,18.14,14.96,9.55,2.56,4.0,2.15,5.7,0.0,0.0,14,4,1
2017,patriots,23.61,9.6,7.69,18.98,13.22,8.64,6.58,4.23,0.41,14.72,0.98,0.0,13,3,0
2018,patriots,21.63,8.99,9.44,17.55,11.35,12.72,4.56,4.36,0.4,4.35,0.0,0.34,11,4,1
2019,patriots,23.6,12.47,5.2,10.99,11.87,11.25,6.16,2.12,0.01,6.03,0.27,0.0,12,0,0
2005,saints,6.04,3.63,12.42,10.33,3.36,0.32,4.12,1.84,6.46,0.0,0.0,0.0,3,0,0
2006,saints,1.91,6.11,3.76,7.53,6.18,5.92,13.03,1.73,3.32,0.0,0.0,0.0,10,2,0
2007,saints,6.93,8.41,9.28,8.32,10.57,6.46,10.47,2.73,9.68,5.97,0.07,0.0,7,0,0
2008,saints,5.5,15.24,10.4,12.07,8.81,8.32,9.7,0.85,3.89,3.18,0.09,0.0,8,0,0
2009,saints,10.08,18.68,9.06,13.74,12.97,8.8,11.43,0.6,3.85,2.38,0.29,0.0,13,4,1
2010,saints,13.8,20.83,8.39,15.69,20.03,10.72,12.34,1.02,2.47,0.0,0.07,0.0,11,0,0
2011,saints,12.33,16.91,8.4,11.7,12.62,10.51,9.12,2.06,6.12,0.18,0.0,0.0,13,1,0
2012,saints,16.43,18.66,11.46,12.31,19.14,9.45,7.81,3.32,4.79,8.45,0.0,4.09,7,0,0
2013,saints,18.17,18.78,7.91,12.6,14.62,14.51,7.28,3.99,4.67,19.39,0.14,0.0,11,1,0
2014,saints,18.18,13.31,7.59,16.34,19.41,14.42,4.47,4.3,12.27,10.33,0.29,0.0,7,0,0
2015,saints,15.34,15.42,8.78,16.11,17.09,17.48,4.34,3.4,24.0,10.21,0.0,0.0,7,0,0
2016,saints,13.82,7.64,7.81,7.08,12.32,11.89,3.19,2.82,0.95,8.06,0.77,1.67,7,0,0
2017,saints,9.11,6.8,14.19,12.27,19.96,12.49,4.36,3.21,1.23,21.85,0.0,0.0,11,1,0
2018,saints,9.37,8.25,15.43,11.48,20.0,15.12,3.99,2.15,0.07,7.42,0.22,0.35,13,2,0
2019,saints,11.35,10.76,13.11,9.89,22.28,14.0,1.9,3.58,0.01,6.81,0.05,0.0,13,0,0
2005,giants,8.3,2.6,12.73,6.38,12.86,4.22,6.54,0.93,2.44,0.0,0.0,0.0,11,0,0
2006,giants,11.13,6.71,11.12,10.15,10.75,11.1,7.37,1.08,3.82,0.0,0.0,0.0,8,0,0
2007,giants,7.61,5.72,11.48,13.16,8.8,10.75,1.86,1.19,3.73,6.95,0.0,0.0,10,4,1
2008,giants,8.31,5.79,8.23,10.76,9.22,14.08,2.47,1.31,4.35,0.0,0.0,0.0,12,1,0
2009,giants,12.4,10.09,17.13,14.65,10.69,14.8,5.87,1.54,8.85,3.02,0.07,0.0,8,0,0
2010,giants,21.88,12.32,20.79,11.74,15.79,13.1,6.74,2.21,0.78,2.65,0.07,0.0,10,0,0
2011,giants,15.54,9.68,21.6,7.47,16.51,14.89,9.81,2.7,3.51,0.24,0.0,0.0,9,4,1
2012,giants,23.99,11.71,21.0,8.25,19.5,8.41,7.29,3.47,3.29,5.11,0.0,0.0,9,0,0
2013,giants,19.27,10.45,16.72,9.69,19.92,17.78,6.16,2.8,7.13,20.32,0.29,0.0,7,0,0
2014,giants,20.73,7.37,14.16,12.16,20.96,16.01,4.07,3.62,9.55,25.78,0.22,0.0,6,0,0
2015,giants,14.38,7.5,12.05,11.66,15.44,10.57,4.5,2.26,5.61,18.11,0.0,0.0,6,0,0
2016,giants,15.36,9.54,20.27,10.07,12.37,15.29,5.84,3.01,9.1,7.45,0.0,0.0,11,0,0
2017,giants,20.07,8.92,24.2,13.37,13.67,12.86,4.14,2.28,5.99,31.46,0.0,0.0,3,0,0
2018,giants,10.27,16.62,4.0,10.87,9.22,13.18,6.14,1.23,0.26,5.11,0.0,0.0,5,0,0
2019,giants,15.26,18.31,7.25,21.63,15.32,15.37,4.49,1.26,28.13,7.31,0.0,0.0,4,0,0
2005,jets,5.2,13.28,8.91,5.16,3.52,12.27,6.96,1.01,6.15,0.0,0.09,0.0,4,0,0
2006,jets,6.35,6.84,17.36,10.05,4.84,7.21,3.04,1.48,0.7,2.34,0.0,0.0,10,0,0
2007,jets,9.25,7.13,14.76,7.76,9.95,7.12,4.93,1.86,0.2,4.79,0.37,0.0,4,0,0
2008,jets,11.03,8.91,10.66,13.65,13.64,13.95,8.4,1.83,9.21,0.38,0.32,0.0,9,0,0
2009,jets,15.17,20.31,8.09,11.59,16.76,11.41,3.34,2.31,4.76,0.52,0.14,0.0,9,2,0
2010,jets,16.1,23.64,7.26,14.86,22.61,8.47,3.75,1.31,3.47,1.83,0.29,0.0,11,2,0
2011,jets,16.44,22.38,6.21,10.68,20.38,14.14,2.37,1.07,6.79,0.0,0.0,0.0,8,0,0
2012,jets,27.18,26.25,6.47,18.63,17.34,10.02,2.55,1.69,4.23,20.12,0.0,0.0,6,0,0
2013,jets,22.3,19.78,6.33,12.35,16.96,13.44,3.4,1.36,18.17,14.84,0.12,0.0,8,0,0
2014,jets,14.87,12.59,7.02,17.02,20.07,7.67,4.7,3.64,14.29,4.41,0.14,0.0,4,0,0
2015,jets,26.11,10.95,11.63,16.57,21.61,3.41,5.21,2.09,5.27,5.93,0.0,0.0,10,0,0
2016,jets,21.55,8.86,13.95,14.81,17.64,6.41,3.4,3.01,0.79,27.02,0.0,0.0,5,0,0
2017,jets,13.96,6.08,18.26,6.01,17.72,4.97,6.13,1.15,0.0,15.4,0.0,0.0,5,0,0
2018,jets,20.31,9.06,13.81,12.41,20.04,9.25,4.78,1.24,13.36,20.08,0.0,1.43,4,0,0
2019,jets,16.29,14.01,10.15,10.75,16.78,4.52,5.63,0.97,0.07,31.63,0.0,0.0,7,0,0
2005,eagles,7.92,0.88,4.9,5.28,12.53,10.27,1.28,3.52,0.28,0.0,0.0,0.0,6,0,0
2006,eagles,10.11,4.2,10.41,6.35,12.46,11.53,1.32,2.38,2.41,0.18,0.08,0.0,10,1,0
2007,eagles,8.36,9.0,11.88,4.37,11.39,12.61,2.08,2.6,0.57,0.17,0.3,0.0,8,0,0
2008,eagles,17.94,5.8,14.49,8.01,9.53,11.12,1.3,2.43,1.8,0.19,0.09,0.0,9,2,0
2009,eagles,18.86,10.97,13.03,8.91,23.71,15.72,0.97,2.69,1.85,4.28,0.32,0.0,11,0,0
2010,eagles,17.85,11.05,15.88,14.5,26.19,14.32,2.63,3.26,11.32,0.77,0.16,0.0,10,0,0
2011,eagles,18.96,7.11,25.07,12.16,14.22,15.78,1.43,1.36,4.75,0.4,0.35,0.0,8,0,0
2012,eagles,15.35,10.83,12.37,14.09,19.03,12.42,3.7,1.92,0.16,14.81,0.95,0.0,4,0,0
2013,eagles,12.41,11.57,8.84,17.19,18.38,9.18,4.31,1.58,8.15,4.52,0.16,0.0,10,0,0
2014,eagles,15.37,15.29,7.35,15.74,20.92,2.54,8.36,1.96,6.82,9.26,0.62,0.0,10,0,0
2015,eagles,17.08,13.11,11.64,11.54,17.65,11.06,9.41,2.5,12.09,4.4,0.0,0.0,7,0,0
2016,eagles,14.91,13.56,12.81,9.31,21.68,10.26,8.93,2.58,14.92,5.44,0.0,0.0,7,0,0
2017,eagles,12.09,8.83,21.17,17.51,19.92,11.31,4.98,1.99,11.08,12.68,0.0,0.0,13,4,1
2018,eagles,12.39,4.13,22.61,13.34,19.78,12.09,2.86,0.93,1.08,10.46,0.0,0.0,9,1,0
2019,eagles,14.67,6.02,18.71,14.74,18.96,8.46,3.09,0.97,10.88,15.09,0.05,0.0,9,0,0
2005,steelers,4.92,17.0,8.43,7.87,10.54,5.98,5.43,0.32,3.89,0.0,0.09,0.0,11,4,1
2006,steelers,7.11,17.11,14.0,8.91,10.21,5.95,4.32,0.34,1.71,0.0,0.0,0.0,8,0,0
2007,steelers,11.42,15.68,13.0,13.78,12.05,5.21,4.56,0.77,3.09,10.45,0.07,0.0,10,0,0
2008,steelers,12.84,8.76,11.4,11.45,14.64,9.18,5.5,1.47,0.79,5.31,0.23,0.0,12,4,1
2009,steelers,13.41,12.11,14.46,10.61,16.14,11.73,7.96,1.91,4.84,3.49,0.14,0.0,9,0,0
2010,steelers,19.29,13.43,17.23,13.7,18.38,11.38,3.61,1.87,1.75,5.35,0.22,0.0,12,3,0
2011,steelers,18.81,20.52,15.76,12.29,16.87,12.77,3.33,2.41,2.41,7.57,0.0,0.0,12,0,0
2012,steelers,20.5,22.0,13.93,16.38,14.39,8.33,4.96,2.81,8.6,17.78,0.15,0.0,8,0,0
2013,steelers,20.76,21.93,10.97,16.52,11.38,12.26,3.25,2.39,8.71,14.28,0.2,0.0,8,0,0
2014,steelers,18.21,26.01,7.13,11.59,14.57,15.89,2.3,2.09,9.97,2.97,0.39,0.0,11,0,0
2015,steelers,12.85,14.54,10.09,11.49,13.27,14.13,2.25,2.42,0.19,15.26,0.78,0.0,10,1,0
2016,steelers,11.8,19.73,9.09,15.57,18.09,16.63,3.24,1.85,7.44,12.62,0.04,0.07,11,2,0
2017,steelers,14.52,8.81,9.3,12.46,23.05,12.44,7.73,1.04,0.36,3.02,0.0,0.0,13,1,0
2018,steelers,14.26,12.41,10.19,9.98,19.23,13.57,1.14,3.19,4.81,7.99,0.0,0.0,9,0,0
2019,steelers,12.81,13.19,15.26,5.49,17.5,13.52,1.36,3.12,0.23,20.17,0.0,0.0,8,0,0
2005,49ers,6.66,9.52,11.97,4.19,9.76,3.53,0.51,1.23,1.02,0.0,0.08,0.0,4,0,0
2006,49ers,13.03,1.6,7.58,14.58,7.76,6.78,0.54,1.28,16.2,0.0,0.0,0.0,7,0,0
2007,49ers,19.51,5.47,3.93,11.28,7.74,3.86,2.72,1.69,4.61,0.0,0.16,0.0,5,0,0
2008,49ers,16.48,7.97,8.96,13.19,5.91,7.31,4.31,1.69,2.31,1.78,0.16,0.0,7,0,0
2009,49ers,16.45,6.81,22.41,13.33,17.54,8.07,6.76,2.02,1.51,2.11,0.14,0.0,8,0,0
2010,49ers,15.81,8.69,20.41,22.67,18.92,13.0,8.16,2.2,5.13,0.24,0.37,0.0,6,0,0
2011,49ers,13.96,10.64,15.22,15.7,11.27,5.12,7.44,3.21,4.41,0.0,0.14,0.0,13,2,0
2012,49ers,17.52,24.86,16.74,19.45,12.99,9.18,7.83,5.58,0.43,5.45,0.64,0.0,11,3,0
2013,49ers,18.61,14.05,9.62,21.34,13.8,1.6,7.09,5.38,0.37,5.59,0.61,0.0,12,2,0
2014,49ers,10.9,17.14,11.62,17.16,16.96,4.51,6.1,3.69,1.06,20.55,0.25,0.0,8,0,0
2015,49ers,9.94,12.45,6.12,10.89,13.15,11.48,2.85,3.62,0.32,21.79,0.0,0.0,5,0,0
2016,49ers,11.46,14.35,9.06,11.96,12.54,11.47,1.83,2.92,6.85,20.93,0.02,0.0,2,0,0
2017,49ers,9.71,12.72,11.39,13.0,12.84,5.75,1.77,1.73,19.23,13.35,0.0,0.0,6,0,0
2018,49ers,11.55,10.32,9.89,12.23,16.44,17.46,3.9,1.73,11.74,30.84,0.0,0.39,4,0,0
2019,49ers,13.91,11.39,21.04,12.35,17.16,9.33,5.55,2.61,11.08,12.31,0.0,0.0,13,3,0
2005,seahawks,3.85,7.19,10.74,3.1,15.08,9.91,8.27,0.46,8.22,0.74,0.0,0.0,13,3,0
2006,seahawks,4.68,8.46,11.43,7.78,11.16,8.29,7.3,0.71,0.53,0.0,0.0,0.0,9,1,0
2007,seahawks,7.96,9.95,14.3,15.06,13.64,10.08,7.21,1.91,4.14,1.92,0.07,0.0,10,1,0
2008,seahawks,9.87,10.46,15.37,15.07,13.94,10.77,9.87,2.05,9.48,10.73,0.08,0.0,4,0,0
2009,seahawks,10.24,13.82,13.98,13.69,16.23,9.71,4.78,2.26,4.49,10.77,0.28,0.0,5,0,0
2010,seahawks,13.2,16.39,17.09,12.3,14.91,9.56,4.51,3.68,18.65,0.0,0.15,0.0,7,1,0
2011,seahawks,13.36,8.08,11.6,12.38,18.13,5.41,4.61,1.14,14.53,0.0,0.11,0.0,7,0,0
2012,seahawks,6.73,6.03,19.36,18.01,19.0,3.77,7.78,3.11,1.44,7.41,0.0,0.0,11,1,0
2013,seahawks,8.88,5.34,23.66,21.5,20.28,1.1,7.36,2.03,0.07,8.43,8.55,0.0,13,2,0
2014,seahawks,15.9,8.32,19.39,9.71,17.02,1.52,6.95,2.93,0.55,8.77,1.82,0.0,12,3,0
2015,seahawks,19.66,9.27,18.68,12.93,8.57,5.77,6.57,3.82,0.23,8.19,0.27,0.0,10,1,0
2016,seahawks,26.67,10.67,14.94,17.1,5.87,12.3,5.51,3.74,9.11,10.27,0.05,0.0,10,1,0
2017,seahawks,26.47,11.03,17.9,11.95,12.49,9.06,3.86,1.88,0.03,19.21,0.52,0.0,9,0,0
2018,seahawks,18.76,14.7,7.05,12.69,13.08,14.07,3.02,1.79,0.89,8.76,5.39,0.29,10,0,0
2019,seahawks,7.56,14.2,13.65,9.83,17.02,13.69,2.57,2.04,0.03,12.23,0.25,1.47,11,1,0
2005,buccaneers,7.44,12.76,13.47,4.15,2.51,5.39,2.8,1.23,6.48,0.0,0.0,0.0,11,0,0
2006,buccaneers,11.56,8.11,12.4,6.13,3.68,0.42,2.98,2.59,0.61,0.18,0.08,0.0,4,0,0
2007,buccaneers,12.67,7.23,10.33,6.86,7.96,8.73,4.22,2.69,0.14,6.99,5.05,0.0,9,0,0
2008,buccaneers,13.58,8.69,10.87,8.86,10.82,4.68,6.19,2.89,2.65,0.0,0.0,0.0,9,0,0
2009,buccaneers,8.74,5.11,5.41,18.32,14.17,4.13,6.36,4.41,7.81,2.77,0.0,0.0,3,0,0
2010,buccaneers,7.56,6.23,24.08,8.91,14.71,5.53,4.4,1.66,13.13,9.05,0.15,0.0,10,0,0
2011,buccaneers,9.16,6.07,7.54,11.61,18.31,2.02,1.33,4.59,3.94,0.0,0.07,0.0,4,0,0
2012,buccaneers,12.31,10.66,17.88,22.46,33.27,7.39,2.96,7.22,3.57,31.82,0.0,0.0,7,0,0
2013,buccaneers,21.55,6.75,14.34,11.73,19.35,0.88,2.74,5.71,0.16,13.44,2.16,0.0,4,0,0
2014,buccaneers,17.54,7.59,28.25,15.48,19.52,4.09,2.55,3.02,9.85,20.82,0.18,0.0,2,0,0
2015,buccaneers,12.08,11.76,24.13,16.01,19.25,4.11,3.24,1.11,17.4,14.62,0.0,0.3,6,0,0
2016,buccaneers,16.78,10.03,19.75,15.25,17.57,5.09,6.32,1.92,0.01,11.95,5.9,0.0,9,0,0
2017,buccaneers,16.0,5.62,23.7,14.76,12.84,6.82,5.25,4.11,4.21,12.38,0.04,0.0,5,0,0
2018,buccaneers,11.03,7.62,27.22,23.31,13.07,6.57,2.06,2.02,0.39,10.49,0.0,0.0,5,0,0
2019,buccaneers,5.83,13.09,15.16,16.96,21.88,11.93,2.49,1.88,0.07,11.73,0.43,0.0,7,0,0
2005,titans,13.82,4.07,17.81,5.63,4.38,11.34,4.53,0.53,25.98,0.0,0.0,0.0,4,0,0
2006,titans,9.91,8.81,9.13,3.4,6.39,17.13,2.61,0.86,8.79,0.0,0.0,0.0,8,0,0
2007,titans,10.39,9.26,14.96,3.92,5.6,12.18,2.52,0.42,9.24,0.93,0.07,0.0,10,0,0
2008,titans,14.67,7.68,13.97,3.38,14.52,5.89,3.47,1.22,4.18,0.4,0.22,0.0,13,1,0
2009,titans,12.47,8.69,14.14,10.31,14.1,9.37,3.03,2.2,0.72,7.41,0.24,0.0,8,0,0
