Year,Team,Dbacks,Front7,Fantasy,Oline,Special,Dead,IR,Prac,Susp,Wins,Playoff Wins,SuperBowl Win
2019,rams,14.75,30.76,29.44,17.42,3.17,7.17,2.6,0.07,0.0,9,0,0
2005,dolphins,2.75,15.68,11.23,3.98,2.58,2.11,0.46,0.09,0.0,9,0,0
2006,dolphins,5.89,11.51,14.25,4.16,2.63,4.92,0.0,0.08,0.0,6,0,0
2007,dolphins,7.53,13.68,15.54,4.38,2.66,8.29,3.34,0.0,0.0,1,0,0
2008,dolphins,9.71,20.81,22.04,14.14,2.18,6.61,1.94,0.08,0.0,11,0,0
2009,dolphins,18.05,26.73,23.82,22.44,1.64,5.93,9.49,0.14,0.0,7,0,0
2010,dolphins,12.95,30.82,25.2,29.71,2.16,25.58,2.36,0.59,0.0,7,0,0
2011,dolphins,10.72,36.8,24.18,28.3,2.7,14.2,0.0,0.35,0.0,6,0,0
2012,dolphins,7.28,32.17,23.55,24.05,4.35,0.19,16.67,0.32,0.0,7,0,0
2013,dolphins,14.16,28.44,17.4,14.3,2.46,0.84,9.38,3.85,0.0,8,0,0
2014,dolphins,13.21,29.76,30.01,12.69,3.38,0.08,14.86,1.19,3.35,8,0,0
2015,dolphins,18.43,34.25,23.74,16.29,1.92,19.92,12.08,0.0,3.44,6,0,0
2016,dolphins,14.35,28.27,19.11,17.17,1.36,1.84,19.35,0.0,0.0,10,0,0
2017,dolphins,10.17,31.95,32.07,13.04,1.07,0.7,28.02,0.0,0.0,6,0,0
2018,dolphins,9.94,39.91,26.61,18.67,0.96,11.33,15.1,0.0,0.0,7,0,0
2019,dolphins,23.91,8.52,16.73,5.16,0.92,0.01,23.47,0.87,0.0,5,0,0
2005,vikings,14.04,16.23,31.53,10.22,0.63,9.66,0.0,0.0,0.0,9,0,0
2006,vikings,12.9,15.31,14.69,21.06,2.14,0.8,1.27,0.08,0.0,6,0,0
2007,vikings,12.62,33.09,20.77,17.02,6.49,3.39,1.38,0.0,0.0,8,0,0
2008,vikings,16.05,31.95,29.17,20.29,4.81,10.44,3.98,0.16,0.0,10,0,0
2009,vikings,14.23,37.16,32.47,14.33,3.58,1.77,4.07,0.14,0.0,12,2,0
2010,vikings,16.82,39.07,38.75,15.92,3.96,0.57,0.0,0.54,0.0,6,0,0
2011,vikings,15.98,35.6,32.49,11.54,3.92,2.35,7.4,0.32,0.0,3,0,0
2012,vikings,8.29,36.11,26.67,13.58,2.51,0.48,2.35,0.39,0.0,10,0,0
2013,vikings,8.78,37.97,31.76,15.53,1.53,0.5,5.06,0.34,0.0,5,0,0
2014,vikings,8.91,29.91,32.16,18.09,1.81,0.41,10.78,13.7,0.0,7,0,0
2015,vikings,13.53,24.88,31.61,19.81,2.31,0.34,12.83,0.0,0.0,11,0,0
2016,vikings,18.66,25.42,29.91,20.2,1.15,1.02,18.44,0.0,0.0,8,0,0
2017,vikings,19.28,23.23,28.28,11.23,1.48,1.12,12.96,0.0,0.0,13,2,0
2018,vikings,20.32,29.79,33.4,14.12,1.86,3.74,5.49,0.0,0.0,8,0,0
2019,vikings,21.86,26.7,32.5,12.52,1.65,0.02,2.44,0.39,0.0,10,1,0
2005,patriots,8.75,16.04,19.02,7.56,3.93,0.57,0.31,0.0,0.0,10,1,0
2006,patriots,6.6,14.86,24.34,10.43,1.0,2.37,0.0,0.0,0.0,12,2,0
2007,patriots,13.1,13.4,23.24,10.91,1.15,2.73,0.0,0.34,0.0,16,3,0
2008,patriots,9.6,16.61,32.98,12.07,1.24,5.24,5.41,0.16,0.0,11,0,0
2009,patriots,6.39,18.81,37.25,15.21,0.91,5.98,0.0,0.21,0.0,10,0,0
2010,patriots,11.5,19.47,39.97,16.29,2.52,2.43,5.38,0.07,0.0,14,1,0
2011,patriots,10.54,22.85,25.83,21.99,2.74,4.08,0.69,0.72,0.0,13,3,0
2012,patriots,12.48,27.29,31.3,16.3,3.37,0.05,5.82,0.94,0.0,12,2,0
2013,patriots,12.26,25.53,23.79,17.31,3.35,0.09,20.94,0.62,0.0,12,2,0
2014,patriots,18.92,23.22,35.8,14.99,3.63,13.37,9.01,0.34,0.0,12,4,1
2015,patriots,11.02,22.83,32.23,14.63,3.57,0.3,16.47,0.8,0.0,12,2,0
2016,patriots,10.94,20.91,30.72,14.96,4.0,2.15,5.7,0.0,0.0,14,4,1
2017,patriots,23.61,17.29,35.02,13.22,4.23,0.41,14.72,0.98,0.0,13,3,0
2018,patriots,21.63,18.43,35.76,11.35,4.36,0.4,4.35,0.0,0.34,11,4,1
2019,patriots,23.6,17.67,29.22,11.87,2.12,0.01,6.03,0.27,0.0,12,0,0
2005,saints,6.04,16.05,15.17,3.36,1.84,6.46,0.0,0.0,0.0,3,0,0
2006,saints,1.91,9.87,27.17,6.18,1.73,3.32,0.0,0.0,0.0,10,2,0
2007,saints,6.93,17.69,26.36,10.57,2.73,9.68,5.97,0.07,0.0,7,0,0
2008,saints,5.5,25.64,31.16,8.81,0.85,3.89,3.18,0.09,0.0,8,0,0
2009,saints,10.08,27.74,34.36,12.97,0.6,3.85,2.38,0.29,0.0,13,4,1
2010,saints,13.8,29.22,38.75,20.03,1.02,2.47,0.0,0.07,0.0,11,0,0
2011,saints,12.33,25.31,31.63,12.62,2.06,6.12,0.18,0.0,0.0,13,1,0
2012,saints,16.43,30.12,29.91,19.14,3.32,4.79,8.45,0.0,4.09,7,0,0
2013,saints,18.17,26.69,34.91,14.62,3.99,4.67,19.39,0.14,0.0,11,1,0
2014,saints,18.18,20.9,36.43,19.41,4.3,12.27,10.33,0.29,0.0,7,0,0
2015,saints,15.34,24.2,38.61,17.09,3.4,24.0,10.21,0.0,0.0,7,0,0
2016,saints,13.82,15.45,22.55,12.32,2.82,0.95,8.06,0.77,1.67,7,0,0
2017,saints,9.11,20.99,29.72,19.96,3.21,1.23,21.85,0.0,0.0,11,1,0
2018,saints,9.37,23.68,31.15,20.0,2.15,0.07,7.42,0.22,0.35,13,2,0
2019,saints,11.35,23.87,26.42,22.28,3.58,0.01,6.81,0.05,0.0,13,0,0
2005,giants,8.3,15.33,17.87,12.86,0.93,2.44,0.0,0.0,0.0,11,0,0
2006,giants,11.13,17.83,29.27,10.75,1.08,3.82,0.0,0.0,0.0,8,0,0
2007,giants,7.61,17.2,26.99,8.8,1.19,3.73,6.95,0.0,0.0,10,4,1
2008,giants,8.31,14.02,28.57,9.22,1.31,4.35,0.0,0.0,0.0,12,1,0
2009,giants,12.4,27.22,36.1,10.69,1.54,8.85,3.02,0.07,0.0,8,0,0
2010,giants,21.88,33.1,32.48,15.79,2.21,0.78,2.65,0.07,0.0,10,0,0
2011,giants,15.54,31.28,32.56,16.51,2.7,3.51,0.24,0.0,0.0,9,4,1
2012,giants,23.99,32.71,24.42,19.5,3.47,3.29,5.11,0.0,0.0,9,0,0
2013,giants,19.27,27.17,34.5,19.92,2.8,7.13,20.32,0.29,0.0,7,0,0
2014,giants,20.73,21.53,33.02,20.96,3.62,9.55,25.78,0.22,0.0,6,0,0
2015,giants,14.38,19.55,27.02,15.44,2.26,5.61,18.11,0.0,0.0,6,0,0
2016,giants,15.36,29.81,32.09,12.37,3.01,9.1,7.45,0.0,0.0,11,0,0
2017,giants,20.07,33.12,30.69,13.67,2.28,5.99,31.46,0.0,0.0,3,0,0
2018,giants,10.27,20.62,30.19,9.22,1.23,0.26,5.11,0.0,0.0,5,0,0
2019,giants,15.26,25.56,41.82,15.32,1.26,28.13,7.31,0.0,0.0,4,0,0
2005,jets,5.2,22.19,25.01,3.52,1.01,6.15,0.0,0.09,0.0,4,0,0
2006,jets,6.35,24.2,20.94,4.84,1.48,0.7,2.34,0.0,0.0,10,0,0
2007,jets,9.25,21.89,19.81,9.95,1.86,0.2,4.79,0.37,0.0,4,0,0
2008,jets,11.03,19.57,36.0,13.64,1.83,9.21,0.38,0.32,0.0,9,0,0
2009,jets,15.17,28.4,26.34,16.76,2.31,4.76,0.52,0.14,0.0,9,2,0
2010,jets,16.1,30.9,27.39,22.61,1.31,3.47,1.83,0.29,0.0,11,2,0
2011,jets,16.44,28.59,27.55,20.38,1.07,6.79,0.0,0.0,0.0,8,0,0
2012,jets,27.18,32.72,31.41,17.34,1.69,4.23,20.12,0.0,0.0,6,0,0
2013,jets,22.3,26.11,29.56,16.96,1.36,18.17,14.84,0.12,0.0,8,0,0
2014,jets,14.87,19.61,30.01,20.07,3.64,14.29,4.41,0.14,0.0,4,0,0
2015,jets,26.11,22.58,25.57,21.61,2.09,5.27,5.93,0.0,0.0,10,0,0
2016,jets,21.55,22.81,24.62,17.64,3.01,0.79,27.02,0.0,0.0,5,0,0
2017,jets,13.96,24.34,17.11,17.72,1.15,0.0,15.4,0.0,0.0,5,0,0
2018,jets,20.31,22.87,26.44,20.04,1.24,13.36,20.08,0.0,1.43,4,0,0
2019,jets,16.29,24.16,21.23,16.78,0.97,0.07,31.63,0.0,0.0,7,0,0
2005,eagles,7.92,5.78,17.23,12.53,3.52,0.28,0.0,0.0,0.0,6,0,0
2006,eagles,10.11,14.61,19.65,12.46,2.38,2.41,0.18,0.08,0.0,10,1,0
2007,eagles,8.36,20.88,19.56,11.39,2.6,0.57,0.17,0.3,0.0,8,0,0
2008,eagles,17.94,20.29,20.99,9.53,2.43,1.8,0.19,0.09,0.0,9,2,0
2009,eagles,18.86,24.0,25.61,23.71,2.69,1.85,4.28,0.32,0.0,11,0,0
2010,eagles,17.85,26.92,31.87,26.19,3.26,11.32,0.77,0.16,0.0,10,0,0
2011,eagles,18.96,32.18,29.9,14.22,1.36,4.75,0.4,0.35,0.0,8,0,0
2012,eagles,15.35,23.2,30.53,19.03,1.92,0.16,14.81,0.95,0.0,4,0,0
2013,eagles,12.41,20.41,33.4,18.38,1.58,8.15,4.52,0.16,0.0,10,0,0
2014,eagles,15.37,22.64,29.31,20.92,1.96,6.82,9.26,0.62,0.0,10,0,0
2015,eagles,17.08,24.75,32.01,17.65,2.5,12.09,4.4,0.0,0.0,7,0,0
2016,eagles,14.91,26.37,28.52,21.68,2.58,14.92,5.44,0.0,0.0,7,0,0
2017,eagles,12.09,30.0,33.8,19.92,1.99,11.08,12.68,0.0,0.0,13,4,1
2018,eagles,12.39,26.74,28.29,19.78,0.93,1.08,10.46,0.0,0.0,9,1,0
2019,eagles,14.67,24.73,26.29,18.96,0.97,10.88,15.09,0.05,0.0,9,0,0
2005,steelers,4.92,25.43,19.55,10.54,0.32,3.89,0.0,0.09,0.0,11,4,1
2006,steelers,7.11,31.11,19.45,10.21,0.34,1.71,0.0,0.0,0.0,8,0,0
2007,steelers,11.42,28.68,23.55,12.05,0.77,3.09,10.45,0.07,0.0,10,0,0
2008,steelers,12.84,20.16,26.13,14.64,1.47,0.79,5.31,0.23,0.0,12,4,1
2009,steelers,13.41,26.57,30.58,16.14,1.91,4.84,3.49,0.14,0.0,9,0,0
2010,steelers,19.29,30.66,28.83,18.38,1.87,1.75,5.35,0.22,0.0,12,3,0
2011,steelers,18.81,36.28,28.42,16.87,2.41,2.41,7.57,0.0,0.0,12,0,0
2012,steelers,20.5,35.93,29.99,14.39,2.81,8.6,17.78,0.15,0.0,8,0,0
2013,steelers,20.76,32.9,32.41,11.38,2.39,8.71,14.28,0.2,0.0,8,0,0
2014,steelers,18.21,33.14,30.2,14.57,2.09,9.97,2.97,0.39,0.0,11,0,0
2015,steelers,12.85,24.63,29.24,13.27,2.42,0.19,15.26,0.78,0.0,10,1,0
2016,steelers,11.8,28.82,35.77,18.09,1.85,7.44,12.62,0.04,0.07,11,2,0
2017,steelers,14.52,18.11,32.99,23.05,1.04,0.36,3.02,0.0,0.0,13,1,0
2018,steelers,14.26,22.6,25.48,19.23,3.19,4.81,7.99,0.0,0.0,9,0,0
2019,steelers,12.81,28.45,21.19,17.5,3.12,0.23,20.17,0.0,0.0,8,0,0
2005,49ers,6.66,21.49,8.23,9.76,1.23,1.02,0.0,0.08,0.0,4,0,0
2006,49ers,13.03,9.18,22.18,7.76,1.28,16.2,0.0,0.0,0.0,7,0,0
2007,49ers,19.51,9.4,18.2,7.74,1.69,4.61,0.0,0.16,0.0,5,0,0
2008,49ers,16.48,16.93,25.41,5.91,1.69,2.31,1.78,0.16,0.0,7,0,0
2009,49ers,16.45,29.22,28.8,17.54,2.02,1.51,2.11,0.14,0.0,8,0,0
2010,49ers,15.81,29.1,45.06,18.92,2.2,5.13,0.24,0.37,0.0,6,0,0
2011,49ers,13.96,25.86,29.2,11.27,3.21,4.41,0.0,0.14,0.0,13,2,0
2012,49ers,17.52,41.6,37.25,12.99,5.58,0.43,5.45,0.64,0.0,11,3,0
2013,49ers,18.61,23.67,30.71,13.8,5.38,0.37,5.59,0.61,0.0,12,2,0
2014,49ers,10.9,28.76,28.91,16.96,3.69,1.06,20.55,0.25,0.0,8,0,0
2015,49ers,9.94,18.57,26.56,13.15,3.62,0.32,21.79,0.0,0.0,5,0,0
2016,49ers,11.46,23.41,25.55,12.54,2.92,6.85,20.93,0.02,0.0,2,0,0
2017,49ers,9.71,24.11,22.57,12.84,1.73,19.23,13.35,0.0,0.0,6,0,0
2018,49ers,11.55,20.21,35.52,16.44,1.73,11.74,30.84,0.0,0.39,4,0,0
2019,49ers,13.91,32.43,29.76,17.16,2.61,11.08,12.31,0.0,0.0,13,3,0
2005,seahawks,3.85,17.93,21.28,15.08,0.46,8.22,0.74,0.0,0.0,13,3,0
2006,seahawks,4.68,19.89,23.37,11.16,0.71,0.53,0.0,0.0,0.0,9,1,0
2007,seahawks,7.96,24.25,32.35,13.64,1.91,4.14,1.92,0.07,0.0,10,1,0
2008,seahawks,9.87,25.83,36.0,13.94,2.05,9.48,10.73,0.08,0.0,4,0,0
2009,seahawks,10.24,27.8,28.53,16.23,2.26,4.49,10.77,0.28,0.0,5,0,0
2010,seahawks,13.2,33.48,26.97,14.91,3.68,18.65,0.0,0.15,0.0,7,1,0
2011,seahawks,13.36,19.68,23.35,18.13,1.14,14.53,0.0,0.11,0.0,7,0,0
2012,seahawks,6.73,25.39,31.63,19.0,3.11,1.44,7.41,0.0,0.0,11,1,0
2013,seahawks,8.88,29.0,30.49,20.28,2.03,0.07,8.43,8.55,0.0,13,2,0
2014,seahawks,15.9,27.71,18.79,17.02,2.93,0.55,8.77,1.82,0.0,12,3,0
2015,seahawks,19.66,27.95,26.11,8.57,3.82,0.23,8.19,0.27,0.0,10,1,0
2016,seahawks,26.67,25.61,35.37,5.87,3.74,9.11,10.27,0.05,0.0,10,1,0
2017,seahawks,26.47,28.93,24.87,12.49,1.88,0.03,19.21,0.52,0.0,9,0,0
2018,seahawks,18.76,21.75,30.13,13.08,1.79,0.89,8.76,5.39,0.29,10,0,0
2019,seahawks,7.56,27.85,26.56,17.02,2.04,0.03,12.23,0.25,1.47,11,1,0
2005,buccaneers,7.44,26.23,12.34,2.51,1.23,6.48,0.0,0.0,0.0,11,0,0
2006,buccaneers,11.56,20.51,9.53,3.68,2.59,0.61,0.18,0.08,0.0,4,0,0
2007,buccaneers,12.67,17.56,20.49,7.96,2.69,0.14,6.99,5.05,0.0,9,0,0
2008,buccaneers,13.58,19.56,21.43,10.82,2.89,2.65,0.0,0.0,0.0,9,0,0
2009,buccaneers,8.74,10.52,29.79,14.17,4.41,7.81,2.77,0.0,0.0,3,0,0
2010,buccaneers,7.56,30.31,19.8,14.71,1.66,13.13,9.05,0.15,0.0,10,0,0
2011,buccaneers,9.16,13.61,15.26,18.31,4.59,3.94,0.0,0.07,0.0,4,0,0
2012,buccaneers,12.31,28.54,33.26,33.27,7.22,3.57,31.82,0.0,0.0,7,0,0
2013,buccaneers,21.55,21.09,16.09,19.35,5.71,0.16,13.44,2.16,0.0,4,0,0
2014,buccaneers,17.54,35.84,22.46,19.52,3.02,9.85,20.82,0.18,0.0,2,0,0
2015,buccaneers,12.08,35.89,23.77,19.25,1.11,17.4,14.62,0.0,0.3,6,0,0
2016,buccaneers,16.78,29.78,26.68,17.57,1.92,0.01,11.95,5.9,0.0,9,0,0
2017,buccaneers,16.0,29.32,26.91,12.84,4.11,4.21,12.38,0.04,0.0,5,0,0
2018,buccaneers,11.03,34.84,31.94,13.07,2.02,0.39,10.49,0.0,0.0,5,0,0
2019,buccaneers,5.83,28.25,31.38,21.88,1.88,0.07,11.73,0.43,0.0,7,0,0
2005,titans,13.82,21.88,21.5,4.38,0.53,25.98,0.0,0.0,0.0,4,0,0
2006,titans,9.91,17.94,23.41,6.39,0.86,8.79,0.0,0.0,0.0,8,0,0
2007,titans,10.39,24.22,18.95,5.6,0.42,9.24,0.93,0.07,0.0,10,0,0
2008,titans,14.67,21.65,13.59,14.52,1.22,4.18,0.4,0.22,0.0,13,1,0
2009,titans,12.47,22.83,23.55,14.1,2.2,0.72,7.41,0.24,0.0,8,0,0
2010,titans,15.48,16.53,28.27,20.2,2.71,0.75,0.0,0.0,0.0,6,0,0
2011,titans,16.68,22.71,23.94,21.94,3.39,2.75,0.0,0.0,0.0,9,0,0
2012,titans,11.69,23.56,33.01,25.36,4.41,0.34,21.82,0.0,0.0,6,0,0
2013,titans,14.96,15.46,30.82,19.63,3.4,0.42,5.18,0.45,0.0,7,0,0
2014,titans,18.22,24.03,26.74,20.44,2.44,9.11,19.87,0.38,0.0,2,0,0
2015,titans,19.14,27.87,21.71,11.52,3.08,11.53,13.16,0.0,0.0,3,0,0
2016,titans,18.03,23.62,25.83,14.28,3.54,10.45,8.99,0.02,0.0,9,0,0
2017,titans,15.76,29.67,25.88,9.33,3.9,4.22,2.13,0.0,0.0,9,1,0
2018,titans,16.99,30.24,20.43,16.28,3.9,6.35,24.72,0.0,0.0,9,0,0
2019,titans,18.41,22.25,28.06,17.89,3.89,6.23,14.03,0.0,0.0,9,2,0
2005,redskins,6.73,7.94,21.29,10.09,0.0,10.99,0.28,0.0,0.0,10,1,0
2006,redskins,6.07,16.81,19.54,13.23,0.12,15.44,0.0,0.08,0.0,5,0,0
2007,redskins,14.16,6.91,18.26,9.56,0.4,5.15,7.65,0.0,0.0,9,0,0
2008,redskins,7.36,9.55,20.12,8.84,1.11,0.18,4.4,0.16,0.0,8,0,0
2009,redskins,15.05,18.67,26.21,14.93,0.27,3.03,16.54,0.07,0.0,4,0,0
2010,redskins,27.95,47.07,38.22,13.83,1.47,0.07,8.37,0.79,0.0,6,0,0
2011,redskins,21.85,27.76,22.0,20.76,1.74,12.13,5.99,0.0,0.0,5,0,0
2012,redskins,17.42,21.69,26.57,22.13,2.3,0.32,12.4,3.61,0.0,10,0,0
2013,redskins,11.83,30.77,31.07,20.87,2.46,4.76,11.93,0.19,0.0,3,0,0
2014,redskins,9.8,38.79,28.68,21.69,1.57,12.58,19.67,0.21,0.0,4,0,0
2015,redskins,13.57,30.36,30.66,19.26,1.53,8.93,19.73,0.0,0.0,9,0,0
2016,redskins,11.83,15.94,34.62,15.89,1.61,0.37,7.29,0.0,0.0,8,0,0
2017,redskins,18.22,21.01,31.07,19.7,1.84,0.06,26.81,0.2,0.0,7,0,0
2018,redskins,14.9,20.08,31.68,19.27,2.53,0.4,0.14,30.37,0.0,7,0,0
2019,redskins,15.54,17.16,34.03,16.46,3.26,2.15,32.94,10.54,0.2,3,0,0
