Year,Team,Off,Def,Special,Dead,IR,Prac,Susp,Wins,Playoff Wins,SuperBowl Win
2015,saints,55.7,39.54,3.4,24.0,10.21,0.0,0.0,7,0,0
2016,saints,34.87,29.27,2.82,0.95,8.06,0.77,1.67,7,0,0
2017,saints,49.68,30.1,3.21,1.23,21.85,0.0,0.0,11,1,0
2018,saints,51.15,33.05,2.15,0.07,7.42,0.22,0.35,13,2,0
2019,saints,48.7,35.22,3.58,0.01,6.81,0.05,0.0,13,0,0
2005,giants,30.73,23.63,0.93,2.44,0.0,0.0,0.0,11,0,0
2006,giants,40.02,28.96,1.08,3.82,0.0,0.0,0.0,8,0,0
2007,giants,35.79,24.81,1.19,3.73,6.95,0.0,0.0,10,4,1
2008,giants,37.79,22.33,1.31,4.35,0.0,0.0,0.0,12,1,0
2009,giants,46.79,39.62,1.54,8.85,3.02,0.07,0.0,8,0,0
2010,giants,48.27,54.98,2.21,0.78,2.65,0.07,0.0,10,0,0
2011,giants,49.07,46.82,2.7,3.51,0.24,0.0,0.0,9,4,1
2012,giants,43.92,56.7,3.47,3.29,5.11,0.0,0.0,9,0,0
2013,giants,54.42,46.44,2.8,7.13,20.32,0.29,0.0,7,0,0
2014,giants,53.98,42.26,3.62,9.55,25.78,0.22,0.0,6,0,0
2015,giants,42.46,33.93,2.26,5.61,18.11,0.0,0.0,6,0,0
2016,giants,44.46,45.17,3.01,9.1,7.45,0.0,0.0,11,0,0
2017,giants,44.36,53.19,2.28,5.99,31.46,0.0,0.0,3,0,0
2018,giants,39.41,30.89,1.23,0.26,5.11,0.0,0.0,5,0,0
2019,giants,57.14,40.82,1.26,28.13,7.31,0.0,0.0,4,0,0
2005,jets,28.53,27.39,1.01,6.15,0.0,0.09,0.0,4,0,0
2006,jets,25.78,30.55,1.48,0.7,2.34,0.0,0.0,10,0,0
2007,jets,29.76,31.14,1.86,0.2,4.79,0.37,0.0,4,0,0
2008,jets,49.64,30.6,1.83,9.21,0.38,0.32,0.0,9,0,0
2009,jets,43.1,43.57,2.31,4.76,0.52,0.14,0.0,9,2,0
2010,jets,50.0,46.99,1.31,3.47,1.83,0.29,0.0,11,2,0
2011,jets,47.93,45.03,1.07,6.79,0.0,0.0,0.0,8,0,0
2012,jets,48.75,59.9,1.69,4.23,20.12,0.0,0.0,6,0,0
2013,jets,46.52,48.41,1.36,18.17,14.84,0.12,0.0,8,0,0
2014,jets,50.08,34.48,3.64,14.29,4.41,0.14,0.0,4,0,0
2015,jets,47.18,48.69,2.09,5.27,5.93,0.0,0.0,10,0,0
2016,jets,42.26,44.36,3.01,0.79,27.02,0.0,0.0,5,0,0
2017,jets,34.83,38.3,1.15,0.0,15.4,0.0,0.0,5,0,0
2018,jets,46.48,43.18,1.24,13.36,20.08,0.0,1.43,4,0,0
2019,jets,38.01,40.45,0.97,0.07,31.63,0.0,0.0,7,0,0
2005,eagles,29.76,13.7,3.52,0.28,0.0,0.0,0.0,6,0,0
2006,eagles,32.11,24.72,2.38,2.41,0.18,0.08,0.0,10,1,0
2007,eagles,30.95,29.24,2.6,0.57,0.17,0.3,0.0,8,0,0
2008,eagles,30.52,38.23,2.43,1.8,0.19,0.09,0.0,9,2,0
2009,eagles,49.32,42.86,2.69,1.85,4.28,0.32,0.0,11,0,0
2010,eagles,58.06,44.78,3.26,11.32,0.77,0.16,0.0,10,0,0
2011,eagles,44.12,51.14,1.36,4.75,0.4,0.35,0.0,8,0,0
2012,eagles,49.56,38.55,1.92,0.16,14.81,0.95,0.0,4,0,0
2013,eagles,51.78,32.82,1.58,8.15,4.52,0.16,0.0,10,0,0
2014,eagles,50.23,38.01,1.96,6.82,9.26,0.62,0.0,10,0,0
2015,eagles,49.66,41.83,2.5,12.09,4.4,0.0,0.0,7,0,0
2016,eagles,50.2,41.28,2.58,14.92,5.44,0.0,0.0,7,0,0
2017,eagles,53.72,42.09,1.99,11.08,12.68,0.0,0.0,13,4,1
2018,eagles,48.07,39.13,0.93,1.08,10.46,0.0,0.0,9,1,0
2019,eagles,45.25,39.4,0.97,10.88,15.09,0.05,0.0,9,0,0
2005,steelers,30.09,30.35,0.32,3.89,0.0,0.09,0.0,11,4,1
2006,steelers,29.66,38.22,0.34,1.71,0.0,0.0,0.0,8,0,0
2007,steelers,35.6,40.1,0.77,3.09,10.45,0.07,0.0,10,0,0
2008,steelers,40.77,33.0,1.47,0.79,5.31,0.23,0.0,12,4,1
2009,steelers,46.72,39.98,1.91,4.84,3.49,0.14,0.0,9,0,0
2010,steelers,47.21,49.95,1.87,1.75,5.35,0.22,0.0,12,3,0
2011,steelers,45.29,55.09,2.41,2.41,7.57,0.0,0.0,12,0,0
2012,steelers,44.38,56.43,2.81,8.6,17.78,0.15,0.0,8,0,0
2013,steelers,43.79,53.66,2.39,8.71,14.28,0.2,0.0,8,0,0
2014,steelers,44.77,51.35,2.09,9.97,2.97,0.39,0.0,11,0,0
2015,steelers,42.51,37.48,2.42,0.19,15.26,0.78,0.0,10,1,0
2016,steelers,53.86,40.62,1.85,7.44,12.62,0.04,0.07,11,2,0
2017,steelers,56.04,32.63,1.04,0.36,3.02,0.0,0.0,13,1,0
2018,steelers,44.71,36.86,3.19,4.81,7.99,0.0,0.0,9,0,0
2019,steelers,38.69,41.26,3.12,0.23,20.17,0.0,0.0,8,0,0
2005,49ers,17.99,28.15,1.23,1.02,0.0,0.08,0.0,4,0,0
2006,49ers,29.94,22.21,1.28,16.2,0.0,0.0,0.0,7,0,0
2007,49ers,25.94,28.91,1.69,4.61,0.0,0.16,0.0,5,0,0
2008,49ers,31.32,33.41,1.69,2.31,1.78,0.16,0.0,7,0,0
2009,49ers,46.34,45.67,2.02,1.51,2.11,0.14,0.0,8,0,0
2010,49ers,63.98,44.91,2.2,5.13,0.24,0.37,0.0,6,0,0
2011,49ers,40.47,39.82,3.21,4.41,0.0,0.14,0.0,13,2,0
2012,49ers,50.24,59.12,5.58,0.43,5.45,0.64,0.0,11,3,0
2013,49ers,44.51,42.28,5.38,0.37,5.59,0.61,0.0,12,2,0
2014,49ers,45.87,39.66,3.69,1.06,20.55,0.25,0.0,8,0,0
2015,49ers,39.71,28.51,3.62,0.32,21.79,0.0,0.0,5,0,0
2016,49ers,38.09,34.87,2.92,6.85,20.93,0.02,0.0,2,0,0
2017,49ers,35.41,33.82,1.73,19.23,13.35,0.0,0.0,6,0,0
2018,49ers,51.96,31.76,1.73,11.74,30.84,0.0,0.39,4,0,0
2019,49ers,46.92,46.34,2.61,11.08,12.31,0.0,0.0,13,3,0
2005,seahawks,36.36,21.78,0.46,8.22,0.74,0.0,0.0,13,3,0
2006,seahawks,34.53,24.57,0.71,0.53,0.0,0.0,0.0,9,1,0
2007,seahawks,45.99,32.21,1.91,4.14,1.92,0.07,0.0,10,1,0
2008,seahawks,49.94,35.7,2.05,9.48,10.73,0.08,0.0,4,0,0
2009,seahawks,44.76,38.04,2.26,4.49,10.77,0.28,0.0,5,0,0
2010,seahawks,41.87,46.68,3.68,18.65,0.0,0.15,0.0,7,1,0
2011,seahawks,41.48,33.04,1.14,14.53,0.0,0.11,0.0,7,0,0
2012,seahawks,50.63,32.12,3.11,1.44,7.41,0.0,0.0,11,1,0
2013,seahawks,50.77,37.88,2.03,0.07,8.43,8.55,0.0,13,2,0
2014,seahawks,35.81,43.61,2.93,0.55,8.77,1.82,0.0,12,3,0
2015,seahawks,34.68,47.61,3.82,0.23,8.19,0.27,0.0,10,1,0
2016,seahawks,41.24,52.28,3.74,9.11,10.27,0.05,0.0,10,1,0
2017,seahawks,37.36,55.4,1.88,0.03,19.21,0.52,0.0,9,0,0
2018,seahawks,43.21,40.51,1.79,0.89,8.76,5.39,0.29,10,0,0
2019,seahawks,43.58,35.41,2.04,0.03,12.23,0.25,1.47,11,1,0
2005,buccaneers,14.85,33.67,1.23,6.48,0.0,0.0,0.0,11,0,0
2006,buccaneers,13.21,32.07,2.59,0.61,0.18,0.08,0.0,4,0,0
2007,buccaneers,28.45,30.23,2.69,0.14,6.99,5.05,0.0,9,0,0
2008,buccaneers,32.25,33.14,2.89,2.65,0.0,0.0,0.0,9,0,0
2009,buccaneers,43.96,19.26,4.41,7.81,2.77,0.0,0.0,3,0,0
2010,buccaneers,34.51,37.87,1.66,13.13,9.05,0.15,0.0,10,0,0
2011,buccaneers,33.57,22.77,4.59,3.94,0.0,0.07,0.0,4,0,0
2012,buccaneers,66.53,40.85,7.22,3.57,31.82,0.0,0.0,7,0,0
2013,buccaneers,35.44,42.64,5.71,0.16,13.44,2.16,0.0,4,0,0
2014,buccaneers,41.98,53.38,3.02,9.85,20.82,0.18,0.0,2,0,0
2015,buccaneers,43.02,47.97,1.11,17.4,14.62,0.0,0.3,6,0,0
2016,buccaneers,44.25,46.56,1.92,0.01,11.95,5.9,0.0,9,0,0
2017,buccaneers,39.75,45.32,4.11,4.21,12.38,0.04,0.0,5,0,0
2018,buccaneers,45.01,45.87,2.02,0.39,10.49,0.0,0.0,5,0,0
2019,buccaneers,53.26,34.08,1.88,0.07,11.73,0.43,0.0,7,0,0
2005,titans,25.88,35.7,0.53,25.98,0.0,0.0,0.0,4,0,0
2006,titans,29.8,27.85,0.86,8.79,0.0,0.0,0.0,8,0,0
2007,titans,24.55,34.61,0.42,9.24,0.93,0.07,0.0,10,0,0
2008,titans,28.11,36.32,1.22,4.18,0.4,0.22,0.0,13,1,0
2009,titans,37.65,35.3,2.2,0.72,7.41,0.24,0.0,8,0,0
2010,titans,48.47,32.01,2.71,0.75,0.0,0.0,0.0,6,0,0
2011,titans,45.88,39.39,3.39,2.75,0.0,0.0,0.0,9,0,0
2012,titans,58.37,35.25,4.41,0.34,21.82,0.0,0.0,6,0,0
2013,titans,50.45,30.42,3.4,0.42,5.18,0.45,0.0,7,0,0
2014,titans,47.18,42.25,2.44,9.11,19.87,0.38,0.0,2,0,0
2015,titans,33.23,47.01,3.08,11.53,13.16,0.0,0.0,3,0,0
2016,titans,40.11,41.65,3.54,10.45,8.99,0.02,0.0,9,0,0
2017,titans,35.21,45.43,3.9,4.22,2.13,0.0,0.0,9,1,0
2018,titans,36.71,47.23,3.9,6.35,24.72,0.0,0.0,9,0,0
2019,titans,45.95,40.66,3.89,6.23,14.03,0.0,0.0,9,2,0
2005,redskins,31.38,14.67,0.0,10.99,0.28,0.0,0.0,10,1,0
2006,redskins,32.77,22.88,0.12,15.44,0.0,0.08,0.0,5,0,0
2007,redskins,27.82,21.07,0.4,5.15,7.65,0.0,0.0,9,0,0
2008,redskins,28.96,16.91,1.11,0.18,4.4,0.16,0.0,8,0,0
2009,redskins,41.14,33.72,0.27,3.03,16.54,0.07,0.0,4,0,0
2010,redskins,52.04,75.02,1.47,0.07,8.37,0.79,0.0,6,0,0
2011,redskins,42.76,49.61,1.74,12.13,5.99,0.0,0.0,5,0,0
2012,redskins,48.7,39.11,2.3,0.32,12.4,3.61,0.0,10,0,0
2013,redskins,51.94,42.6,2.46,4.76,11.93,0.19,0.0,3,0,0
2014,redskins,50.37,48.59,1.57,12.58,19.67,0.21,0.0,4,0,0
2015,redskins,49.92,43.93,1.53,8.93,19.73,0.0,0.0,9,0,0
2016,redskins,50.51,27.77,1.61,0.37,7.29,0.0,0.0,8,0,0
2017,redskins,50.77,39.23,1.84,0.06,26.81,0.2,0.0,7,0,0
2018,redskins,50.95,34.98,2.53,0.4,0.14,30.37,0.0,7,0,0
2019,redskins,50.49,32.7,3.26,2.15,32.94,10.54,0.2,3,0,0
